game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822708,2026-07-12,New York Yankees @ Washington Nationals,away,Will Warren,R,Washington Nationals,9,5,2,2,7,0,187,False,True,0.801,0.802,0.762,0.765,0.803,0.058
822708,2026-07-12,New York Yankees @ Washington Nationals,home,Cade Cavalli,R,New York Yankees,9,6,2,1,7,0,170,False,True,0.767,0.769,0.753,0.75,0.761,0.016
822876,2026-07-12,Houston Astros @ Texas Rangers,away,Cristian Javier,R,Texas Rangers,9,4,5,0,4,0,30,True,False,0.736,0.739,1.045,0.84,0.838,0.093
822876,2026-07-12,Houston Astros @ Texas Rangers,home,MacKenzie Gore,L,Houston Astros,9,1,8,0,8,0,99,False,True,0.71,0.737,0.693,0.7,0.694,-0.051
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,away,Emerson Hancock,R,Tampa Bay Rays,9,6,2,1,7,0,163,False,True,0.783,0.782,0.614,0.644,0.666,-0.079
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,home,Ian Seymour,L,Seattle Mariners,9,3,5,1,6,1,102,False,True,0.62,0.663,0.64,0.664,0.615,-0.13
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,away,Danny Young,L,St. Louis Cardinals,9,5,4,0,4,2,6,True,False,0.751,0.742,0.833,0.723,0.738,-0.007
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,home,Dustin May,R,Atlanta Braves,9,4,4,1,5,0,140,False,True,0.757,0.76,0.679,0.704,0.724,-0.021
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,away,Michael Lorenzen,R,San Francisco Giants,9,5,4,0,5,0,205,False,True,0.799,0.792,0.916,0.892,0.947,0.202
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,home,Trevor McDonald,R,Colorado Rockies,9,4,4,1,5,0,117,False,True,0.777,0.772,0.731,0.742,0.767,0.022
823274,2026-07-12,Toronto Blue Jays @ San Diego Padres,away,Kevin Gausman,R,San Diego Padres,9,3,5,1,4,0,179,False,True,0.681,0.688,0.726,0.72,0.672,-0.073
823274,2026-07-12,Toronto Blue Jays @ San Diego Padres,home,Germán Márquez,R,Toronto Blue Jays,9,3,5,1,4,0,68,False,True,0.711,0.715,0.792,0.784,0.752,0.007
823358,2026-07-12,Milwaukee Brewers @ Pittsburgh Pirates,away,Robert Gasser,L,Pittsburgh Pirates,9,2,5,2,7,0,59,False,True,0.71,0.733,0.735,0.735,0.727,-0.018
823358,2026-07-12,Milwaukee Brewers @ Pittsburgh Pirates,home,Paul Skenes,R,Milwaukee Brewers,9,6,3,0,6,0,169,False,True,0.795,0.791,0.636,0.657,0.685,-0.06
823602,2026-07-12,Boston Red Sox @ New York Mets,away,Payton Tolle,L,New York Mets,9,4,4,1,5,2,100,False,True,0.711,0.719,0.619,0.631,0.631,-0.114
823602,2026-07-12,Boston Red Sox @ New York Mets,home,Zach Thornton,L,Boston Red Sox,9,2,6,1,7,3,18,True,False,0.811,0.766,0.664,0.723,0.747,0.002
823681,2026-07-12,Los Angeles Angels @ Minnesota Twins,away,José Soriano,R,Minnesota Twins,9,3,4,2,5,1,201,False,True,0.784,0.776,0.647,0.664,0.693,-0.052
823681,2026-07-12,Los Angeles Angels @ Minnesota Twins,home,Taj Bradley,R,Los Angeles Angels,9,2,7,0,2,0,163,False,True,0.7,0.706,0.686,0.683,0.663,-0.082
823842,2026-07-12,Cleveland Guardians @ Miami Marlins,away,Joey Cantillo,L,Miami Marlins,9,1,7,1,8,2,99,False,True,0.813,0.801,0.737,0.738,0.788,0.043
823842,2026-07-12,Cleveland Guardians @ Miami Marlins,home,Tyler Phillips,R,Cleveland Guardians,9,6,1,2,8,0,144,False,True,0.696,0.71,0.769,0.756,0.7,-0.045
823925,2026-07-12,Arizona Diamondbacks @ Los Angeles Dodgers,away,Mitch Bratt,L,Los Angeles Dodgers,9,5,3,1,4,0,3,True,False,0.77,0.766,0.344,0.707,0.749,0.004
823925,2026-07-12,Arizona Diamondbacks @ Los Angeles Dodgers,home,Emmet Sheehan,R,Arizona Diamondbacks,9,1,4,4,5,0,150,False,True,0.699,0.718,0.78,0.776,0.743,-0.002
824250,2026-07-12,Philadelphia Phillies @ Detroit Tigers,away,Zack Wheeler,R,Detroit Tigers,9,6,3,0,6,0,134,False,True,0.743,0.752,0.568,0.608,0.604,-0.141
824250,2026-07-12,Philadelphia Phillies @ Detroit Tigers,home,Tarik Skubal,L,Philadelphia Phillies,9,4,5,0,5,0,66,False,True,0.708,0.718,0.676,0.658,0.656,-0.089
824491,2026-07-12,Chicago Cubs @ Cincinnati Reds,away,Matthew Boyd,L,Cincinnati Reds,9,1,6,2,8,1,43,True,False,0.845,0.801,0.772,0.756,0.806,0.061
824491,2026-07-12,Chicago Cubs @ Cincinnati Reds,home,Andrew Abbott,L,Chicago Cubs,9,2,6,1,7,1,122,False,True,0.769,0.758,0.734,0.733,0.75,0.005
824574,2026-07-12,Athletics @ Chicago White Sox,away,J.T. Ginn,R,Chicago White Sox,9,6,2,1,7,0,163,False,True,0.8,0.795,0.695,0.7,0.722,-0.023
824574,2026-07-12,Athletics @ Chicago White Sox,home,Noah Schultz,L,Athletics,9,1,7,1,8,2,43,True,False,0.803,0.771,0.803,0.788,0.812,0.067
824814,2026-07-12,Kansas City Royals @ Baltimore Orioles,away,Seth Lugo,R,Baltimore Orioles,9,5,3,1,6,0,147,False,True,0.764,0.759,0.818,0.812,0.815,0.07
824814,2026-07-12,Kansas City Royals @ Baltimore Orioles,home,Shane Baz,R,Kansas City Royals,9,5,3,1,6,1,199,False,True,0.719,0.724,0.752,0.753,0.72,-0.025
